13:29:11.263 [main] INFO  com.hcl.gim.baseutil.BaseTest - 
13:29:11.270 [main] INFO  com.hcl.gim.baseutil.BaseTest - Running locally JavaMail
13:29:11.380 [main] INFO  com.hcl.gim.baseutil.BaseTest - Folder creation for Extent
13:29:11.403 [main] INFO  com.hcl.gim.baseutil.BaseTest - ExtentDir:-C:\HCL-GIM-Harsha\GIM-App-Harsha1/reports/Automation Report- 02_26_2021_13_29_11/Report/02_26_2021_13_29_11
13:29:11.582 [main] INFO  com.hcl.gim.baseutil.BaseTest - Report Initiated
13:29:11.585 [main] INFO  com.hcl.gim.baseutil.BaseTest - Screenshot folder created
13:29:18.412 [main] INFO  com.hcl.gim.testscripts.hcl_jewels.TYSS_GIM_HJ_0008 - Chrome Browser is launched
13:29:19.323 [main] INFO  com.hcl.gim.testscripts.hcl_jewels.TYSS_GIM_HJ_0008 - Expected text : Log in. is matching with the : Log in. text in the application 
13:29:19.324 [main] INFO  com.hcl.gim.testscripts.hcl_jewels.TYSS_GIM_HJ_0008 - Log In page is displayed
13:29:19.324 [main] INFO  com.hcl.gim.testscripts.hcl_jewels.TYSS_GIM_HJ_0008 - Enter the value into User Id text box
13:29:19.985 [main] INFO  com.hcl.gim.testscripts.hcl_jewels.TYSS_GIM_HJ_0008 - 51575273 typed into User Id text box
13:29:19.985 [main] INFO  com.hcl.gim.testscripts.hcl_jewels.TYSS_GIM_HJ_0008 - Enter the value into Password text box
13:29:20.291 [main] INFO  com.hcl.gim.testscripts.hcl_jewels.TYSS_GIM_HJ_0008 - GIM@123# typed into Password text box
13:29:20.292 [main] INFO  com.hcl.gim.testscripts.hcl_jewels.TYSS_GIM_HJ_0008 - Validate Login button is clickable
13:29:33.003 [main] INFO  com.hcl.gim.testscripts.hcl_jewels.TYSS_GIM_HJ_0008 - Clicked on : Login button
13:29:33.279 [main] INFO  com.hcl.gim.testscripts.hcl_jewels.TYSS_GIM_HJ_0008 - LOB HR-Log in is successfull
13:29:33.391 [main] INFO  com.hcl.gim.testscripts.hcl_jewels.TYSS_GIM_HJ_0008 - Expected text : HR Partner Manual is matching with the : HR Partner Manual text in the application 
13:29:33.392 [main] INFO  com.hcl.gim.testscripts.hcl_jewels.TYSS_GIM_HJ_0008 - HR Partner Manual popup is displayed
13:29:33.392 [main] INFO  com.hcl.gim.testscripts.hcl_jewels.TYSS_GIM_HJ_0008 - Validate Close button on HCL Banner is clickable
13:29:33.621 [main] INFO  com.hcl.gim.testscripts.hcl_jewels.TYSS_GIM_HJ_0008 - Clicked on : Close button on HCL Banner
13:29:33.767 [main] INFO  com.hcl.gim.testscripts.hcl_jewels.TYSS_GIM_HJ_0008 - Home page is displayed, url= https://staging.myhcl.com/GIM/Home/Index, title= Home Page
13:29:33.799 [main] INFO  com.hcl.gim.testscripts.hcl_jewels.TYSS_GIM_HJ_0008 - Role: Employee
