10:37:34.874 [main] INFO  com.hcl.gim.baseutil.BaseTest - 
10:37:34.881 [main] INFO  com.hcl.gim.baseutil.BaseTest - Running locally JavaMail
10:37:34.983 [main] INFO  com.hcl.gim.baseutil.BaseTest - Folder creation for Extent
10:37:35.008 [main] INFO  com.hcl.gim.baseutil.BaseTest - ExtentDir:-C:\HCL-GIM-Harsha\GIM-App-Harsha1/reports/Automation Report- 02_25_2021_10_37_35/Report/02_25_2021_10_37_35
10:37:35.175 [main] INFO  com.hcl.gim.baseutil.BaseTest - Report Initiated
10:37:35.180 [main] INFO  com.hcl.gim.baseutil.BaseTest - Screenshot folder created
10:37:41.763 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - Chrome Browser is launched
10:37:42.418 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - Expected text : Log in. is matching with the : Log in. text in the application 
10:37:42.419 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - Log In page is displayed
10:37:42.419 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - Enter the value into User Id text box
10:37:42.639 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - 40136083 typed into User Id text box
10:37:42.639 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - Enter the value into Password text box
10:37:42.842 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - GIM@123# typed into Password text box
10:37:42.842 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - Validate Login button is clickable
10:37:47.905 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - Clicked on : Login button
10:37:48.598 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - GEO HR-Log in is successfull
10:37:48.675 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - Expected text : HR Partner Manual is matching with the : HR Partner Manual text in the application 
10:37:48.675 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - HR Partner Manual popup is displayed
10:37:48.675 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - Validate Close button on HCL Banner is clickable
10:37:48.842 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - Clicked on : Close button on HCL Banner
10:37:48.963 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - Home page is displayed, url= https://staging.myhcl.com/GIM/Home/Index, title= Home Page
10:37:48.974 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - Role: Employee
10:37:48.974 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - Validate Geo HR Initiate On Behalf Of Employee button is clickable
10:37:49.724 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - Clicked on : Geo HR Initiate On Behalf Of Employee button
10:37:49.797 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - Initiate Claim page is displayed, url= https://staging.myhcl.com/GIM/HRPartner/InitiateClaim, title= InitiateClaim
10:37:49.804 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - Wait for Select Claim type Drop down
10:37:49.966 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - Validate Select Claim type Drop down is clickable
10:37:50.332 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - Clicked on : Select Claim type Drop down
10:37:51.383 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0011 - List of all Claim types from the Drop down is displayed.
