12:27:50.653 [main] INFO  com.hcl.gim.baseutil.BaseTest - 
12:27:50.663 [main] INFO  com.hcl.gim.baseutil.BaseTest - Running locally JavaMail
12:27:50.810 [main] INFO  com.hcl.gim.baseutil.BaseTest - Folder creation for Extent
12:27:50.830 [main] INFO  com.hcl.gim.baseutil.BaseTest - ExtentDir:-C:\HCL-GIM-Harsha\GIM-App-Harsha1/reports/Automation Report- 02_26_2021_12_27_50/Report/02_26_2021_12_27_50
12:27:51.037 [main] INFO  com.hcl.gim.baseutil.BaseTest - Report Initiated
12:27:51.043 [main] INFO  com.hcl.gim.baseutil.BaseTest - Screenshot folder created
12:27:58.187 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Chrome Browser is launched
12:27:59.881 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Expected text : Log in. is matching with the : Log in. text in the application 
12:27:59.882 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Log In page is displayed
12:27:59.882 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Enter the value into User Id text box
12:28:00.207 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - 40136083 typed into User Id text box
12:28:00.208 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Enter the value into Password text box
12:28:00.519 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - GIM@123# typed into Password text box
12:28:00.520 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Validate Login button is clickable
12:28:14.999 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Clicked on : Login button
