10:33:25.087 [main] INFO  com.hcl.gim.baseutil.BaseTest - 
10:33:25.093 [main] INFO  com.hcl.gim.baseutil.BaseTest - Running locally JavaMail
10:33:25.179 [main] INFO  com.hcl.gim.baseutil.BaseTest - Folder creation for Extent
10:33:25.192 [main] INFO  com.hcl.gim.baseutil.BaseTest - ExtentDir:-C:\HCL-GIM-Harsha\GIM-App-Harsha1/reports/Automation Report- 02_25_2021_10_33_25/Report/02_25_2021_10_33_25
10:33:25.326 [main] INFO  com.hcl.gim.baseutil.BaseTest - Report Initiated
10:33:25.330 [main] INFO  com.hcl.gim.baseutil.BaseTest - Screenshot folder created
10:33:31.796 [main] INFO  com.hcl.gim.testscripts.clientbonus_reward_incentive.TYSS_GIM_CBRI_0002 - Chrome Browser is launched
10:33:32.476 [main] INFO  com.hcl.gim.testscripts.clientbonus_reward_incentive.TYSS_GIM_CBRI_0002 - Expected text : Log in. is matching with the : Log in. text in the application 
10:33:32.476 [main] INFO  com.hcl.gim.testscripts.clientbonus_reward_incentive.TYSS_GIM_CBRI_0002 - Log In page is displayed
10:33:32.476 [main] INFO  com.hcl.gim.testscripts.clientbonus_reward_incentive.TYSS_GIM_CBRI_0002 - Enter the value into User Id text box
10:33:32.677 [main] INFO  com.hcl.gim.testscripts.clientbonus_reward_incentive.TYSS_GIM_CBRI_0002 - 51575273 typed into User Id text box
10:33:32.678 [main] INFO  com.hcl.gim.testscripts.clientbonus_reward_incentive.TYSS_GIM_CBRI_0002 - Enter the value into Password text box
10:33:32.869 [main] INFO  com.hcl.gim.testscripts.clientbonus_reward_incentive.TYSS_GIM_CBRI_0002 - GIM@123# typed into Password text box
10:33:32.869 [main] INFO  com.hcl.gim.testscripts.clientbonus_reward_incentive.TYSS_GIM_CBRI_0002 - Validate Login button is clickable
10:33:37.920 [main] INFO  com.hcl.gim.testscripts.clientbonus_reward_incentive.TYSS_GIM_CBRI_0002 - Clicked on : Login button
10:33:38.586 [main] INFO  com.hcl.gim.testscripts.clientbonus_reward_incentive.TYSS_GIM_CBRI_0002 - LOB HR-Log in is successfull
10:33:38.652 [main] INFO  com.hcl.gim.testscripts.clientbonus_reward_incentive.TYSS_GIM_CBRI_0002 - Expected text : HR Partner Manual is matching with the : HR Partner Manual text in the application 
